staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,orientation,absolute orientation value
100,0.5,2.5,153.1367435,153.6369613,153.6369613,153.6369613,153.9364376,2.5,1,0.4934884,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
101,0.5,2.5,154.1531522,154.6536951,154.6536951,154.6536951,154.953129,2.5,1,0.7539035,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
102,0.5,2.5,155.4362954,155.937027,155.937027,155.937027,156.2366816,2.5,1,0.6657499,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
103,0.5,2,156.6200018,157.1202135,157.1202135,157.1202135,157.4198836,-2,0,1.2330555,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
104,0.5,2.5,158.3699624,158.870274,158.870274,158.870274,159.1699226,-2.5,1,0.6720532,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
105,0.5,2.5,159.5698016,160.0703237,160.0703237,160.0703237,160.3700971,-2.5,1,0.6448219,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
106,0.5,2.5,160.7367494,161.236996,161.236996,161.236996,161.5369283,2.5,1,0.938663,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
107,0.5,2,162.2030664,162.7037697,162.7037697,162.7037697,163.003314,2,1,0.5574448,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
108,0.5,2,163.2866676,163.787136,163.787136,163.787136,164.0869424,-2,1,0.5905495,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
109,0.5,2,164.4031042,164.903622,164.903622,164.903622,165.2034885,2,1,0.7033183,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
110,0.5,1.5,165.6367612,166.1373082,166.1373082,166.1373082,166.4364749,1.5,0,0.7019426,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
111,0.5,2,166.8700005,167.370447,167.370447,167.370447,167.669946,-2,1,0.8894059,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
112,0.5,2,168.2863889,168.7870767,168.7870767,168.7870767,169.0868735,-2,1,0.6777835,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
113,0.5,2,169.4866392,169.9871929,169.9871929,169.9871929,170.2866695,2,1,0.8828749,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
114,0.5,1.5,170.8867578,171.3873079,171.3873079,171.3873079,171.6867329,-1.5,1,0.8632514,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
115,0.5,1.5,172.2698045,172.7702889,172.7702889,172.7702889,173.0701643,1.5,1,0.8224061,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
116,0.5,1.5,173.6198511,174.1204173,174.1204173,174.1204173,174.4202274,-1.5,1,0.808348001,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
117,0.5,1,174.9532502,175.4536565,175.4536565,175.4536565,175.7534549,1,1,0.6602024,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
118,0.5,1,176.1365675,176.6370155,176.6370155,176.6370155,176.9366409,1,1,1.5446208,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
119,0.5,1,178.2034952,178.7037513,178.7037513,178.7037513,179.0036073,1,1,1.1861189,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
120,0.5,1,179.9203159,180.420311,180.420311,180.420311,180.7198476,1,1,0.8796238,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
121,0.5,1,181.3198821,181.8203876,181.8203876,181.8203876,182.1199953,1,1,0.8737965,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
122,0.5,1,182.719794,183.2209733,183.2209733,183.2209733,183.5203231,-1,1,0.7427263,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
123,0.5,1,183.986533,184.487154,184.487154,184.487154,184.7868779,1,1,2.9399318,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
